Date,Open,High,Low,Close,Adj Close,Volume
4/11/2014,16732.84961,17127.66016,16713.36914,16780.5293,16780.5293,1045700000
11/11/2014,16869.49023,17520.53906,16855.30078,16973.80078,16973.80078,895900000
18/11/2014,17188.83984,17472.57031,17108.19922,17357.50977,17357.50977,628500000
25/11/2014,17490.39063,17649.01953,17212.48047,17590.09961,17590.09961,711200000
2/12/2014,17481.06055,18030.83008,17476.41992,17935.64063,17935.64063,689700000
9/12/2014,17820.24023,17892.16016,17037.21094,17099.40039,17099.40039,822300000
16/12/2014,16862.41992,17692.58008,16672.93945,17635.14063,17635.14063,812200000
23/12/2014,17842.03906,17914.55078,17525.66016,17729.83984,17729.83984,414500000
30/12/2014,17702.11914,17713.75977,17219.2207,17408.71094,17408.71094,214800000
6/01/2015,17101.58008,17342.65039,16808.25977,17197.73047,17197.73047,600400000
13/01/2015,16970.88086,17141.98047,16592.57031,17014.28906,17014.28906,744500000
20/01/2015,17071.65039,17532.06055,17066.76953,17468.51953,17468.51953,635000000
27/01/2015,17649.40039,17850.58984,17459.44922,17558.03906,17558.03906,731100000
3/02/2015,17654.59961,17799.49023,17271.86914,17711.92969,17711.92969,813600000
10/02/2015,17662.66992,18074.25977,17550.0293,18004.76953,18004.76953,619700000
17/02/2015,17949.69922,18509.08008,17901.25977,18466.91992,18466.91992,791600000
24/02/2015,18468.39063,18939.16992,18427.98047,18826.88086,18826.88086,749300000
3/03/2015,18910.51953,18979.64063,18586.83984,18790.55078,18790.55078,685100000
10/03/2015,18891.00977,19349.19922,18577.06055,19246.06055,19246.06055,784800000
17/03/2015,19425.89063,19778.59961,19312.69922,19754.35938,19754.35938,679200000
24/03/2015,19718.99023,19775.44922,19099.86914,19411.40039,19411.40039,756300000
31/03/2015,19592.42969,19607.25,18927.94922,19397.98047,19397.98047,660400000
7/04/2015,19539.0293,20006,19501.31055,19905.46094,19905.46094,640900000
14/04/2015,19828.65039,19922.5,19474.23047,19634.49023,19634.49023,739800000
21/04/2015,19731.57031,20252.11914,19678.2207,19983.32031,19983.32031,830100000
28/04/2015,20068.65039,20133.7793,19399.16016,19531.63086,19531.63086,481900000
5/05/2015,19356.46094,19679.63086,19257.84961,19620.91016,19620.91016,561700000
12/05/2015,19608.23047,19890.26953,19467.65039,19890.26953,19890.26953,954000000
19/05/2015,19977.14063,20417.76953,19946.75,20413.76953,20413.76953,823600000
26/05/2015,20431.26953,20655.33008,20363.21094,20569.86914,20569.86914,971500000
2/06/2015,20604.66992,20619.60938,20359.06055,20457.18945,20457.18945,841300000
9/06/2015,20293.05078,20437.25977,20016.32031,20387.78906,20387.78906,799900000
16/06/2015,20332.83008,20433.30078,19990.55078,20428.18945,20428.18945,693100000
23/06/2015,20547.74023,20952.71094,20093.16016,20109.94922,20109.94922,783700000
30/06/2015,20174.60938,20601.73047,20012.23047,20112.11914,20112.11914,739000000
7/07/2015,20354.23047,20428,19115.19922,20089.76953,20089.76953,931800000
14/07/2015,20355.33008,20658.94922,20322.19922,20650.91992,20650.91992,543800000
21/07/2015,20763.31055,20850,20278.73047,20350.09961,20350.09961,632300000
28/07/2015,20188.57031,20585.24023,20070.61914,20548.10938,20548.10938,813000000
4/08/2015,20462.17969,20820.85938,20448.49023,20808.68945,20808.68945,792900000
11/08/2015,20920.59961,20946.92969,20303.01953,20620.25977,20620.25977,742900000
18/08/2015,20640.58984,20663.17969,18498.80078,18540.67969,18540.67969,866400000
25/08/2015,18171.66016,19192.82031,17714.30078,18890.48047,18890.48047,1147300000
1/09/2015,18763.7207,18777.4707,17478.7207,17860.4707,17860.4707,853400000
8/09/2015,17941.91016,18770.50977,17415.60938,17965.69922,17965.69922,857300000
15/09/2015,18082.7207,18468.19922,17995.98047,18070.21094,18070.21094,575300000
22/09/2015,17803.41016,17886.49023,17483.68945,17645.10938,17645.10938,483500000
29/09/2015,17359.38086,18079.46094,16901.49023,18005.49023,18005.49023,770200000
6/10/2015,18302.41016,18438.66992,18043.08008,18438.66992,18438.66992,651700000
13/10/2015,18335.15039,18397.51953,17758.11914,18131.23047,18131.23047,671900000
20/10/2015,18245.53906,19088.75977,18147.98047,18947.11914,18947.11914,654900000
27/10/2015,18961.16016,19202.33984,18641.2207,18683.24023,18683.24023,742000000
3/11/2015,18941.32031,19684.41016,18926.91016,19642.74023,19642.74023,593000000
10/11/2015,19457.05078,19725.83008,19252.03906,19393.68945,19393.68945,636600000
17/11/2015,19641.66992,19959.06055,19628.83984,19879.81055,19879.81055,521400000
24/11/2015,19875.99023,19994.05078,19707.66992,19747.4707,19747.4707,660200000
1/12/2015,19799.08008,20012.40039,19444.53906,19698.15039,19698.15039,602600000
8/12/2015,19689.86914,19764.21094,18611.08984,18883.41992,18883.41992,670600000
15/12/2015,18869.03906,19869.08008,18562.50977,18916.01953,18916.01953,788400000
22/12/2015,18927.85938,19071.41016,18744.43945,18873.34961,18873.34961,490100000
29/12/2015,18843.39063,19113.17969,18394.42969,18450.98047,18450.98047,337600000
5/01/2016,18398.75977,18547.38086,17509.64063,17697.96094,17697.96094,626800000
12/01/2016,17470.92969,17717.75,16665.05078,16955.57031,16955.57031,827600000
19/01/2016,16902.28906,17208.24023,16017.25977,17110.91016,17110.91016,904000000
26/01/2016,16833.13086,17905.36914,16652.25977,17865.23047,17865.23047,982300000
2/02/2016,17716.51953,17864.69922,16552.30078,17004.30078,17004.30078,1128100000
9/02/2016,16666.78906,16668.69922,14865.76953,16022.58008,16022.58008,1084400000
16/02/2016,15849.46973,16341.55957,15632.12012,16111.04981,16111.04981,918300000
23/02/2016,16230.37988,16472.5,15753.76953,16026.75977,16026.75977,798300000
1/03/2016,16013,17042.91992,15857.37012,16911.32031,16911.32031,871900000
8/03/2016,16889.48047,17291.34961,16494.80078,17233.75,17233.75,818000000
15/03/2016,17219.89063,17279.30078,16613.68945,16724.81055,16724.81055,578900000
22/03/2016,16937.31055,17167.88086,16843.99023,17134.36914,17134.36914,633000000
29/03/2016,16985.2793,17137.19922,16029.5,16123.26953,16123.26953,728900000
5/04/2016,16044.23047,16066.17969,15471.79981,15751.12988,15751.12988,761300000
12/04/2016,15719.24023,16928.66992,15693.61035,16275.9502,16275.9502,755100000
19/04/2016,16582.66016,17613.56055,16570.5,17439.30078,17439.30078,855400000
26/04/2016,17358.56055,17572.26953,15975.46973,16147.37988,16147.37988,715500000
3/05/2016,16212.66992,16292.86035,15989.34961,16216.03027,16216.03027,266900000
10/05/2016,16307.5,16814.64063,16229.15039,16466.40039,16466.40039,745400000
17/05/2016,16618.94922,16841.03906,16417.83984,16654.59961,16654.59961,667100000
24/05/2016,16605.03906,17068.01953,16471.36914,17068.01953,17068.01953,547800000
31/05/2016,17029.46094,17251.35938,16322.63965,16580.0293,16580.0293,662700000
7/06/2016,16651.05078,16830.91992,16019.17969,16019.17969,16019.17969,617800000
14/06/2016,16001.19043,16082.5,15395.98047,15965.29981,15965.29981,721900000
21/06/2016,15875.80957,16389.16992,14864.00977,15309.20996,15309.20996,768300000
28/06/2016,15094.70996,15805.30957,14987.79004,15775.79981,15775.79981,707400000
5/07/2016,15682.16016,15816.66992,15106.51953,15708.82031,15708.82031,663300000
12/07/2016,15961.29981,16607.32031,15956.91016,16497.84961,16497.84961,688700000
19/07/2016,16612.08984,16938.96094,16514.66016,16620.28906,16620.28906,590600000
26/07/2016,16535.81055,16821.42969,16174.34961,16635.76953,16635.76953,820000000
2/08/2016,16469.67969,16652.03906,15921.04004,16650.57031,16650.57031,718300000
9/08/2016,16632.41016,16943.66992,16630.56055,16869.56055,16869.56055,444100000
16/08/2016,16878.66016,16887.57031,16452.61914,16598.18945,16598.18945,575000000
23/08/2016,16549.82031,16764.64063,16320.42969,16737.49023,16737.49023,510100000
30/08/2016,16690.98047,17156.35938,16677.84961,17037.63086,17037.63086,629100000
6/09/2016,17035.0293,17097.58984,16601.53906,16672.91992,16672.91992,588800000
13/09/2016,16764.65039,16787.06055,16359.78027,16519.28906,16519.28906,459400000
20/09/2016,16403.2207,16823.63086,16399.65039,16544.56055,16544.56055,553500000
27/09/2016,16390.91016,16756.42969,16285.41016,16598.66992,16598.66992,615600000
4/10/2016,16661.50977,16971.2793,16637.82031,16860.08984,16860.08984,426300000
11/10/2016,16936.31055,17074.46094,16727.7793,16900.11914,16900.11914,543500000
18/10/2016,16862.31055,17288.89063,16844.16992,17234.41992,17234.41992,514600000
25/10/2016,17298.63086,17461.0293,17278.11914,17425.01953,17425.01953,639200000
1/11/2016,17380.53906,17473.11914,16801.98047,17177.21094,17177.21094,506000000
8/11/2016,17242.69922,17697.33008,16111.80957,17672.61914,17672.61914,1011400000
15/11/2016,17690.2207,18129.0293,17605.76953,18106.01953,18106.01953,837100000
22/11/2016,18091.05078,18482.93945,18050.55078,18356.89063,18356.89063,581200000
29/11/2016,18263.63086,18746.2793,18227.39063,18274.99023,18274.99023,810000000
6/12/2016,18457.19922,19280.92969,18318.99023,19155.0293,19155.0293,910800000
13/12/2016,19120.75977,19439.9707,19060.7207,19391.59961,19391.59961,690100000
20/12/2016,19367.83984,19592.90039,19327.50977,19396.64063,19396.64063,448900000
27/12/2016,19353.42969,19478.58008,18991.58984,19114.36914,19114.36914,469200000
3/01/2017,19298.67969,19615.40039,19277.92969,19454.33008,19454.33008,417100000
10/01/2017,19414.83008,19484.90039,19061.26953,19095.24023,19095.24023,595500000
17/01/2017,19038.44922,19176.85938,18650.33008,18891.0293,18891.0293,659400000
24/01/2017,18817.41992,19486.67969,18783.16016,19368.84961,19368.84961,634500000
31/01/2017,19145.34961,19199.75,18830.89063,18976.71094,18976.71094,663300000
7/02/2017,18844.11914,19519.43945,18805.32031,19459.15039,19459.15039,606800000
14/02/2017,19478.85938,19501.00977,19115.10938,19251.08008,19251.08008,665900000
21/02/2017,19267.86914,19419.2207,18995.55078,19107.4707,19107.4707,671300000
28/02/2017,19194.67969,19668.00977,19118.99023,19379.14063,19379.14063,610400000
7/03/2017,19337.18945,19656.48047,19198.7793,19633.75,19633.75,551000000
14/03/2017,19634.28906,19637.55078,19454.16992,19521.58984,19521.58984,498600000
21/03/2017,19416.55078,19485.14063,18973.75,18985.58984,18985.58984,607800000
28/03/2017,19159.07031,19251.30078,18909.25977,18983.23047,18983.23047,645300000
4/04/2017,18933.82031,18947.33008,18517.42969,18797.88086,18797.88086,675000000
11/04/2017,18717.55078,18767.69922,18224.67969,18355.25977,18355.25977,345100000
18/04/2017,18497.38086,18910.33008,18327.33008,18875.88086,18875.88086,542300000
25/04/2017,18872.56055,19311.21094,18867.18945,19310.51953,19310.51953,588400000
2/05/2017,19335.7207,19929.48047,19335.01953,19895.69922,19895.69922,261400000
9/05/2017,19915.64063,19989.93945,19740.63086,19869.84961,19869.84961,654000000
16/05/2017,19953.06055,19998.49023,19449.73047,19678.2793,19678.2793,579000000
23/05/2017,19647.74023,19850.92969,19585.53906,19682.57031,19682.57031,431600000
